01-01 00:00:07.974 I/BOOT    (  154): MSM target 'msm8960', SoC 'Surf', HwID '109', SoC ver '65536' 
01-02 13:00:00.840 I/qrngd   (  217): qrngd has started:
01-02 13:00:00.840 I/qrngd   (  217): Reading device:'/dev/hw_random' updating entropy for device:'/dev/random'
01-02 13:00:00.880 I/qcom-bluetooth(  222): /system/etc/init.qcom.bt.sh: init.qcom.bt.sh config = onboot 
01-01 00:00:13.814 D/dalvikvm(  210): GC_EXPLICIT freed 25K, 2% free 1532K/1560K, paused 1ms+0ms, total 8ms
01-01 00:00:13.874 D/dalvikvm(  210): GC_EXPLICIT freed 81K, 6% free 1578K/1664K, paused 1ms+1ms, total 8ms
01-01 00:00:13.904 D/dalvikvm(  210): GC_EXPLICIT freed 36K, 5% free 1597K/1664K, paused 1ms+1ms, total 8ms
01-01 00:00:13.934 D/dalvikvm(  210): GC_EXPLICIT freed 31K, 3% free 1622K/1664K, paused 1ms+1ms, total 9ms
01-01 00:00:13.954 D/dalvikvm(  210): GC_EXPLICIT freed 19K, 2% free 1685K/1708K, paused 1ms+1ms, total 9ms
01-01 00:00:13.994 W/QCALOG  (  335): [LOWIClientReceiver] init () - Request Timeout
01-01 00:00:13.994 E/QCALOG  (  335): [LOWIClientReceiver] ~ThreadImpl: thread is probably still running
01-01 00:00:13.994 W/QCALOG  (  335): [LOWIMsgQ] pop 0: deprecated.
01-01 00:00:13.994 I/QCALOG  (  335): [MessageQ_Client] connecting to server [/data/misc/location/mq/location-mq-s]
01-01 00:00:13.994 I/QCALOG  (  335): [MessageQ_Client] connected
01-01 00:00:13.994 W/OSAL    (  335): OS API: quipc_thread_create thread IWMM created on index = 0
01-01 00:00:13.994 W/OSAL    (  335): OS API: quipc_thread_create thread SLIMCW created on index = 1
01-01 00:00:13.994 W/OSAL    (  335): OS API: quipc_thread_create thread SDP created on index = 2
01-01 00:00:13.994 W/OSAL    (  335): OS API: quipc_thread_create thread IPE created on index = 3
01-01 00:00:14.004 E/Diag_Lib(  335):  Diag_LSM_Init: Failed to open handle to diag driver, error = 13
01-01 00:00:14.004 E/IPE     (  335): ipe_thread_init Diag init from IPE failed
01-01 00:00:14.004 W/SDP     (  335): SDP: Thread starting
01-01 00:00:14.004 D/dalvikvm(  210): GC_EXPLICIT freed 23K, 2% free 1716K/1744K, paused 1ms+1ms, total 10ms
01-01 00:00:14.004 W/OSAL    (  335): OS API: quipc_thread_create thread IGSD event recv created on index = 4
01-01 00:00:14.004 E/OSAL    (  335): alarm_service_connect: connect failed: No such file or directory
01-01 00:00:14.004 E/OSAL    (  335): alarm_send_wakeup_time: Invalid socket -1
01-01 00:00:14.004 W/OSAL    (  335): OS API: quipc_thread_create thread IMC created on index = 5
01-01 00:00:14.024 D/dalvikvm(  210): GC_EXPLICIT freed 29K, 2% free 1742K/1776K, paused 1ms+1ms, total 10ms
01-01 00:00:14.114 D/dalvikvm(  210): GC_EXPLICIT freed 457K, 18% free 2122K/2584K, paused 1ms+1ms, total 14ms
01-01 00:00:14.144 D/dalvikvm(  210): GC_EXPLICIT freed 35K, 18% free 2141K/2584K, paused 1ms+1ms, total 17ms
01-01 00:00:14.164 D/dalvikvm(  210): GC_EXPLICIT freed 25K, 16% free 2174K/2584K, paused 1ms+1ms, total 12ms
01-01 00:00:14.164 W/Zygote  (  210): Class not found for preloading: java.lang.UnsafeByteSequence
01-01 00:00:14.184 D/dalvikvm(  210): GC_EXPLICIT freed 35K, 16% free 2194K/2584K, paused 1ms+1ms, total 13ms
01-01 00:00:14.224 D/dalvikvm(  210): GC_EXPLICIT freed 41K, 15% free 2211K/2584K, paused 1ms+1ms, total 14ms
01-01 00:00:14.254 D/dalvikvm(  210): GC_EXPLICIT freed 42K, 14% free 2224K/2584K, paused 2ms+1ms, total 14ms
01-01 00:00:14.334 I/System  (  210): Loaded time zone names for "" in 66ms (62ms in ICU)
01-01 00:00:14.374 I/System  (  210): Loaded time zone names for "en_US" in 46ms (41ms in ICU)
01-01 00:00:14.394 D/dalvikvm(  210): GC_EXPLICIT freed 195K, 12% free 2388K/2692K, paused 1ms+1ms, total 14ms
01-01 00:00:14.414 D/dalvikvm(  210): GC_EXPLICIT freed 14K, 9% free 2453K/2692K, paused 1ms+1ms, total 14ms
01-01 00:00:14.454 D/dalvikvm(  210): GC_EXPLICIT freed 30K, 8% free 2479K/2692K, paused 10ms+2ms, total 30ms
01-01 00:00:14.474 D/dalvikvm(  210): GC_EXPLICIT freed 34K, 8% free 2499K/2692K, paused 1ms+2ms, total 14ms
01-01 00:00:14.494 D/dalvikvm(  210): GC_EXPLICIT freed 32K, 7% free 2520K/2692K, paused 1ms+1ms, total 14ms
01-01 00:00:14.524 D/dalvikvm(  210): GC_EXPLICIT freed 29K, 6% free 2546K/2692K, paused 1ms+1ms, total 15ms
01-01 00:00:14.524 I/Zygote  (  210): ...preloaded 2777 classes in 2755ms.
01-01 00:00:14.815 D/MDnsDS  (  204): MDnsSdListener::Hander starting up
01-01 00:00:14.815 D/MDnsDS  (  204): MDnsSdListener starting to monitor
01-01 00:00:14.815 D/MDnsDS  (  204): Going to poll with pollCount 1
01-01 00:00:14.845 D/dalvikvm(  210): GC_EXPLICIT freed 18K, 6% free 2548K/2692K, paused 1ms+1ms, total 16ms
01-01 00:00:14.845 I/Zygote  (  210): Preloading resources...
01-01 00:00:14.845 W/Resources(  210): Preloaded drawable resource #0x1080096 (android:drawable/toast_frame) that varies with configuration!!
01-01 00:00:14.845 W/Resources(  210): Preloaded drawable resource #0x1080105 (android:drawable/btn_check_on_pressed_holo_light) that varies with configuration!!
01-01 00:00:14.845 W/Resources(  210): Preloaded drawable resource #0x1080104 (android:drawable/btn_check_on_pressed_holo_dark) that varies with configuration!!
01-01 00:00:14.855 W/Resources(  210): Preloaded drawable resource #0x1080102 (android:drawable/btn_check_on_holo_light) that varies with configuration!!
01-01 00:00:14.855 W/Resources(  210): Preloaded drawable resource #0x1080101 (android:drawable/btn_check_on_holo_dark) that varies with configuration!!
01-01 00:00:14.855 W/Resources(  210): Preloaded drawable resource #0x10800ff (android:drawable/btn_check_on_focused_holo_light) that varies with configuration!!
01-01 00:00:14.855 W/Resources(  210): Preloaded drawable resource #0x10800fe (android:drawable/btn_check_on_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.865 D/dalvikvm(  210): GC_EXPLICIT freed 34K, 5% free 2568K/2692K, paused 2ms+2ms, total 15ms
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800fd (android:drawable/btn_check_on_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800fc (android:drawable/btn_check_on_disabled_holo_dark) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800fb (android:drawable/btn_check_on_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800fa (android:drawable/btn_check_on_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800f2 (android:drawable/btn_check_off_pressed_holo_light) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800f1 (android:drawable/btn_check_off_pressed_holo_dark) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800ed (android:drawable/btn_check_off_holo_light) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800ec (android:drawable/btn_check_off_holo_dark) that varies with configuration!!
01-01 00:00:14.875 W/Resources(  210): Preloaded drawable resource #0x10800ea (android:drawable/btn_check_off_focused_holo_light) that varies with configuration!!
01-01 00:00:14.895 D/dalvikvm(  210): GC_EXPLICIT freed 59K, 5% free 2561K/2692K, paused 1ms+2ms, total 17ms
01-01 00:00:14.895 W/Resources(  210): Preloaded drawable resource #0x10800e9 (android:drawable/btn_check_off_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.895 W/Resources(  210): Preloaded drawable resource #0x10800e8 (android:drawable/btn_check_off_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.895 W/Resources(  210): Preloaded drawable resource #0x10800e7 (android:drawable/btn_check_off_disabled_holo_dark) that varies with configuration!!
01-01 00:00:14.895 W/Resources(  210): Preloaded drawable resource #0x10800e6 (android:drawable/btn_check_off_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:14.895 W/Resources(  210): Preloaded drawable resource #0x10800e5 (android:drawable/btn_check_off_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.895 W/Resources(  210): Preloaded drawable resource #0x1080102 (android:drawable/btn_check_on_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800ed (android:drawable/btn_check_off_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x1080105 (android:drawable/btn_check_on_pressed_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800f2 (android:drawable/btn_check_off_pressed_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800ff (android:drawable/btn_check_on_focused_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800ea (android:drawable/btn_check_off_focused_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800ed (android:drawable/btn_check_off_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x1080102 (android:drawable/btn_check_on_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800fd (android:drawable/btn_check_on_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800e8 (android:drawable/btn_check_off_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800fb (android:drawable/btn_check_on_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800e6 (android:drawable/btn_check_off_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800e8 (android:drawable/btn_check_off_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.905 W/Resources(  210): Preloaded drawable resource #0x10800fd (android:drawable/btn_check_on_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.915 W/Resources(  210): Preloaded drawable resource #0x10800dc (android:drawable/btn_check_holo_light) that varies with configuration!!
01-01 00:00:14.925 D/dalvikvm(  210): GC_EXPLICIT freed 108K, 6% free 2565K/2708K, paused 2ms+1ms, total 16ms
01-01 00:00:14.925 W/Resources(  210): Preloaded drawable resource #0x1080101 (android:drawable/btn_check_on_holo_dark) that varies with configuration!!
01-01 00:00:14.925 W/Resources(  210): Preloaded drawable resource #0x10800ec (android:drawable/btn_check_off_holo_dark) that varies with configuration!!
01-01 00:00:14.925 W/Resources(  210): Preloaded drawable resource #0x1080104 (android:drawable/btn_check_on_pressed_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800f1 (android:drawable/btn_check_off_pressed_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800fe (android:drawable/btn_check_on_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800e9 (android:drawable/btn_check_off_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800ec (android:drawable/btn_check_off_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x1080101 (android:drawable/btn_check_on_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800fc (android:drawable/btn_check_on_disabled_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800e7 (android:drawable/btn_check_off_disabled_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800fa (android:drawable/btn_check_on_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800e5 (android:drawable/btn_check_off_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800e7 (android:drawable/btn_check_off_disabled_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800fc (android:drawable/btn_check_on_disabled_holo_dark) that varies with configuration!!
01-01 00:00:14.935 W/Resources(  210): Preloaded drawable resource #0x10800db (android:drawable/btn_check_holo_dark) that varies with configuration!!
01-01 00:00:14.955 D/dalvikvm(  210): GC_EXPLICIT freed 84K, 6% free 2565K/2708K, paused 1ms+2ms, total 15ms
01-01 00:00:14.955 W/Resources(  210): Preloaded drawable resource #0x1080195 (android:drawable/btn_radio_on_pressed_holo_light) that varies with configuration!!
01-01 00:00:14.955 W/Resources(  210): Preloaded drawable resource #0x1080194 (android:drawable/btn_radio_on_pressed_holo_dark) that varies with configuration!!
01-01 00:00:14.955 W/Resources(  210): Preloaded drawable resource #0x1080192 (android:drawable/btn_radio_on_holo_light) that varies with configuration!!
01-01 00:00:14.955 W/Resources(  210): Preloaded drawable resource #0x1080191 (android:drawable/btn_radio_on_holo_dark) that varies with configuration!!
01-01 00:00:14.965 W/Resources(  210): Preloaded drawable resource #0x108018f (android:drawable/btn_radio_on_focused_holo_light) that varies with configuration!!
01-01 00:00:14.965 W/Resources(  210): Preloaded drawable resource #0x108018e (android:drawable/btn_radio_on_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.965 W/Resources(  210): Preloaded drawable resource #0x108018d (android:drawable/btn_radio_on_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.965 W/Resources(  210): Preloaded drawable resource #0x108018c (android:drawable/btn_radio_on_disabled_holo_dark) that varies with configuration!!
01-01 00:00:14.965 W/Resources(  210): Preloaded drawable resource #0x108018b (android:drawable/btn_radio_on_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:14.965 D/dalvikvm(  210): WAIT_FOR_CONCURRENT_GC blocked 1ms
01-01 00:00:14.985 D/dalvikvm(  210): GC_EXPLICIT freed 53K, 6% free 2565K/2708K, paused 1ms+2ms, total 15ms
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x108018a (android:drawable/btn_radio_on_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x1080187 (android:drawable/btn_radio_off_pressed_holo_light) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x1080186 (android:drawable/btn_radio_off_pressed_holo_dark) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x1080184 (android:drawable/btn_radio_off_holo_light) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x1080183 (android:drawable/btn_radio_off_holo_dark) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x1080181 (android:drawable/btn_radio_off_focused_holo_light) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x1080180 (android:drawable/btn_radio_off_focused_holo_dark) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x108017f (android:drawable/btn_radio_off_disabled_holo_light) that varies with configuration!!
01-01 00:00:14.985 W/Resources(  210): Preloaded drawable resource #0x108017e (android:drawable/btn_radio_off_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.005 D/dalvikvm(  210): GC_EXPLICIT freed 51K, 6% free 2566K/2708K, paused 1ms+1ms, total 15ms
01-01 00:00:15.005 W/Resources(  210): Preloaded drawable resource #0x108017d (android:drawable/btn_radio_off_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:15.005 W/Resources(  210): Preloaded drawable resource #0x108017c (android:drawable/btn_radio_off_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.005 W/Resources(  210): Preloaded drawable resource #0x1080128 (android:drawable/btn_default_pressed_holo_light) that varies with configuration!!
01-01 00:00:15.005 W/Resources(  210): Preloaded drawable resource #0x1080127 (android:drawable/btn_default_pressed_holo_dark) that varies with configuration!!
01-01 00:00:15.005 W/Resources(  210): Preloaded drawable resource #0x1080124 (android:drawable/btn_default_normal_holo_light) that varies with configuration!!
01-01 00:00:15.015 W/Resources(  210): Preloaded drawable resource #0x1080123 (android:drawable/btn_default_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.015 W/Resources(  210): Preloaded drawable resource #0x108011c (android:drawable/btn_default_focused_holo_light) that varies with configuration!!
01-01 00:00:15.015 W/Resources(  210): Preloaded drawable resource #0x108011b (android:drawable/btn_default_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.015 W/Resources(  210): Preloaded drawable resource #0x1080119 (android:drawable/btn_default_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.015 W/Resources(  210): Preloaded drawable resource #0x1080118 (android:drawable/btn_default_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.025 D/dalvikvm(  210): GC_EXPLICIT freed 24K, 5% free 2595K/2708K, paused 1ms+1ms, total 16ms
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080116 (android:drawable/btn_default_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080115 (android:drawable/btn_default_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080123 (android:drawable/btn_default_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080118 (android:drawable/btn_default_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080127 (android:drawable/btn_default_pressed_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x108011b (android:drawable/btn_default_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080123 (android:drawable/btn_default_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080115 (android:drawable/btn_default_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x1080118 (android:drawable/btn_default_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.035 W/Resources(  210): Preloaded drawable resource #0x108011d (android:drawable/btn_default_holo_dark) that varies with configuration!!
01-01 00:00:15.045 W/Resources(  210): Preloaded drawable resource #0x1080124 (android:drawable/btn_default_normal_holo_light) that varies with configuration!!
01-01 00:00:15.045 W/Resources(  210): Preloaded drawable resource #0x1080119 (android:drawable/btn_default_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.045 W/Resources(  210): Preloaded drawable resource #0x1080128 (android:drawable/btn_default_pressed_holo_light) that varies with configuration!!
01-01 00:00:15.045 W/Resources(  210): Preloaded drawable resource #0x108011c (android:drawable/btn_default_focused_holo_light) that varies with configuration!!
01-01 00:00:15.045 W/Resources(  210): Preloaded drawable resource #0x1080124 (android:drawable/btn_default_normal_holo_light) that varies with configuration!!
01-01 00:00:15.045 W/Resources(  210): Preloaded drawable resource #0x1080116 (android:drawable/btn_default_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:15.045 W/Resources(  210): Preloaded drawable resource #0x1080119 (android:drawable/btn_default_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.055 W/Resources(  210): Preloaded drawable resource #0x108011e (android:drawable/btn_default_holo_light) that varies with configuration!!
01-01 00:00:15.065 D/dalvikvm(  210): GC_EXPLICIT freed 55K, 4% free 2626K/2708K, paused 1ms+1ms, total 15ms
01-01 00:00:15.065 W/Resources(  210): Preloaded drawable resource #0x10801d1 (android:drawable/btn_star_off_normal_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801db (android:drawable/btn_star_on_normal_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801d7 (android:drawable/btn_star_on_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801cd (android:drawable/btn_star_off_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801dd (android:drawable/btn_star_on_pressed_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801d3 (android:drawable/btn_star_off_pressed_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801d9 (android:drawable/btn_star_on_focused_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801cf (android:drawable/btn_star_off_focused_holo_light) that varies with configuration!!
01-01 00:00:15.075 W/Resources(  210): Preloaded drawable resource #0x10801d5 (android:drawable/btn_star_on_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:15.095 D/dalvikvm(  210): GC_EXPLICIT freed 108K, 6% free 2571K/2716K, paused 1ms+1ms, total 15ms
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801cb (android:drawable/btn_star_off_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801d1 (android:drawable/btn_star_off_normal_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801db (android:drawable/btn_star_on_normal_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801d7 (android:drawable/btn_star_on_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801cd (android:drawable/btn_star_off_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801dd (android:drawable/btn_star_on_pressed_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801d3 (android:drawable/btn_star_off_pressed_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801d9 (android:drawable/btn_star_on_focused_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801cf (android:drawable/btn_star_off_focused_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801d5 (android:drawable/btn_star_on_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:15.095 W/Resources(  210): Preloaded drawable resource #0x10801d7 (android:drawable/btn_star_on_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.105 W/Resources(  210): Preloaded drawable resource #0x10801cb (android:drawable/btn_star_off_disabled_focused_holo_light) that varies with configuration!!
01-01 00:00:15.105 W/Resources(  210): Preloaded drawable resource #0x10801cd (android:drawable/btn_star_off_disabled_holo_light) that varies with configuration!!
01-01 00:00:15.105 W/Resources(  210): Preloaded drawable resource #0x10801d1 (android:drawable/btn_star_off_normal_holo_light) that varies with configuration!!
01-01 00:00:15.105 W/Resources(  210): Preloaded drawable resource #0x10801db (android:drawable/btn_star_on_normal_holo_light) that varies with configuration!!
01-01 00:00:15.105 W/Resources(  210): Preloaded drawable resource #0x10801c8 (android:drawable/btn_star_holo_light) that varies with configuration!!
01-01 00:00:15.115 D/dalvikvm(  210): GC_EXPLICIT freed 86K, 6% free 2573K/2716K, paused 1ms+1ms, total 16ms
01-01 00:00:15.115 W/Resources(  210): Preloaded drawable resource #0x10801d0 (android:drawable/btn_star_off_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801da (android:drawable/btn_star_on_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801d6 (android:drawable/btn_star_on_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801cc (android:drawable/btn_star_off_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801dc (android:drawable/btn_star_on_pressed_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801d2 (android:drawable/btn_star_off_pressed_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801d8 (android:drawable/btn_star_on_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801ce (android:drawable/btn_star_off_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.125 W/Resources(  210): Preloaded drawable resource #0x10801d4 (android:drawable/btn_star_on_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.145 D/dalvikvm(  210): GC_EXPLICIT freed 53K, 6% free 2573K/2716K, paused 1ms+1ms, total 15ms
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801ca (android:drawable/btn_star_off_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801d0 (android:drawable/btn_star_off_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801da (android:drawable/btn_star_on_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801d6 (android:drawable/btn_star_on_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801cc (android:drawable/btn_star_off_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801dc (android:drawable/btn_star_on_pressed_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801d2 (android:drawable/btn_star_off_pressed_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801d8 (android:drawable/btn_star_on_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801ce (android:drawable/btn_star_off_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801d4 (android:drawable/btn_star_on_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.145 W/Resources(  210): Preloaded drawable resource #0x10801d6 (android:drawable/btn_star_on_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.155 W/Resources(  210): Preloaded drawable resource #0x10801ca (android:drawable/btn_star_off_disabled_focused_holo_dark) that varies with configuration!!
01-01 00:00:15.155 W/Resources(  210): Preloaded drawable resource #0x10801cc (android:drawable/btn_star_off_disabled_holo_dark) that varies with configuration!!
01-01 00:00:15.155 W/Resources(  210): Preloaded drawable resource #0x10801d0 (android:drawable/btn_star_off_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.155 W/Resources(  210): Preloaded drawable resource #0x10801da (android:drawable/btn_star_on_normal_holo_dark) that varies with configuration!!
01-01 00:00:15.155 W/Resources(  210): Preloaded drawable resource #0x10801c7 (android:drawable/btn_star_holo_dark) that varies with configuration!!
